"name","type","summary","state","updated","lat","lng","size","url","id","contained"
"Chalkyitsik Complex","Wildfire","General Summary of the Chalkyitsik Complex Incident In mid-July...","ALASKA","2019-09-09 17:44:26","66.546","-143.059","505,273 Acres","/incident/6494/","6494","0"
"Hess Creek Fire","Wildfire","The Hess Creek Fire started June 21, 2019 by lightning moving through...","ALASKA","2019-09-09 17:44:23","65.699","-148.359","189,369 Acres","/incident/6404/","6404","0"
"HK Complex","Wildfire","The HK Complex is a combination of 14 lightning fires that were...","OREGON","2019-09-09 17:40:41","45.045","-119.463","2,705 Acres","/incident/6507/","6507","95"
"Granite Gulch Fire","Wildfire","The lightning-caused Granite Gulch Fire is burning in a remote part...","OREGON","2019-09-09 13:51:22","45.178","-117.427","5,555 Acres","/incident/6498/","6498","0"
"Middle Fire","Wildfire"," The Lincoln National Forest is planning to allow the...","NEW MEXICO","2019-09-09 10:33:27","32.77","-105.361","785 Acres","/incident/6562/","6562","50"
"Pedro Mountain Fire","Wildfire","September 4, at 2:00 pm, the evacuations and road closures in the...","WYOMING","2019-09-09 10:33:24","42.349","-106.897","23,408 Acres","/incident/6549/","6549","95"
"Cherry Fire","Wildfire","The Cherry fire started on September 2nd, and is located in the...","NEVADA","2019-09-09 09:46:28","40.066","-115.646","3,487 Acres","/incident/6557/","6557","100"
"Ashenfelder Fire","Wildfire"," Crews completed line on the fire’s perimeter bringing containment...","WYOMING","2019-09-09 08:38:41","42.326","-105.413","67 Acres","/incident/6569/","6569","100"
"Telephone Fire","Wildfire","","ARIZONA","2019-09-08 22:56:02","34.17","-109.788","350 Acres","/incident/6586/","6586","0"
"Ikes Fire","Wildfire","Wildland Fire in Grand Canyon National Park: The lightning-caused...","ARIZONA","2019-09-08 21:26:53","36.349","-112.285","7,630 Acres","/incident/6475/","6475","0"
"Springs Fire","Wildfire","Springs Fire FINAL UPDATEThis will be the final update for the...","CALIFORNIA","2019-09-08 13:00:54","37.826","-118.872","4,840 Acres","/incident/6477/","6477","98"
"KNF Lightning September 5, 2019","Wildfire","September 8, 2019 morning update. Approximately 40 fires have been...","CALIFORNIA","2019-09-08 12:44:55","41.706","-122.229","0 Acres","/incident/6567/","6567","0"
"Eden Fire","Wildfire"," CLINTS WELL, Ariz., Sept. 4, 2019 – A lightning-caused wildfire...","ARIZONA","2019-09-08 11:47:25","34.619","-111.268","1,259 Acres","/incident/6560/","6560","30"
"Miller Gulch Fire","Wildfire","Due to inaccessible terrain and rugged, steep conditions, the...","MONTANA","2019-09-07 14:23:27","46.475","-113.752","297 Acres","/incident/6542/","6542","0"
"2019 Malheur NF Prescribed Fire","Prescribed Fire"," Malheur National Forest fire officials are monitoring conditions on...","OREGON","2019-09-06 19:16:45","44.418","-118.951","0 Acres","/incident/6299/","6299","0"
"Canyon 66 Prescribed Burn","Prescribed Fire","The Canyon 66 prescribed burn began Tuesday, September 3 on the...","OREGON","2019-09-06 16:31:30","44.42","-120.385","5,072 Acres","/incident/6559/","6559","0"
"Crab Fire","Wildfire","Please scroll down to see the latest information posted by date.The...","IDAHO","2019-09-06 12:24:16","46.501","-114.574","214 Acres","/incident/6467/","6467","0"
"NPClwNF Prescribed Burns 2019","Prescribed Fire","The bold entries at the top of this page is the latest information....","IDAHO","2019-09-06 11:37:21","46.229","-116.032","0 Acres","/incident/6548/","6548","0"
"Shale Creek Fire","Wildfire","The North Fork Ranger District of the Nez Perce-Clearwater National...","IDAHO","2019-09-06 11:05:23","46.715","-114.972","550 Acres","/incident/6553/","6553","0"
"Saber Fire","Wildfire","Smoke has reduced significantly and is expected to move up and out to...","ARIZONA","2019-09-06 11:00:50","35.011","-111.901","3,279 Acres","/incident/6519/","6519","80"
"Barren Hill Fire","Wildfire","See below for Sept. 6 update.The Moose Creek Ranger District of the...","IDAHO","2019-09-06 10:50:04","46.237","-114.983","1,092 Acres","/incident/6468/","6468","0"
"Bomber Lake Fire","Wildfire"," The Bomber Lake Fire was discovered on the afternoon of August 28,...","WYOMING","2019-09-05 18:50:12","43.34","-109.629","70 Acres","/incident/6551/","6551","0"
"Snow Peak Fire","Wildfire","Snow Peak Resource Benefit Fire – Coeur d’Alene River Ranger...","IDAHO","2019-09-05 18:11:09","47.958","-116.286","100 Acres","/incident/6544/","6544","0"
"Devore Creek Fire","Wildfire","Lightning-Ignited Fire Burning in the Wilderness This Devore Creek...","WASHINGTON","2019-09-05 13:48:40","48.258","-120.716","463 Acres","/incident/6463/","6463","0"
"Woodbury Fire - BAER","Burned Area Emergency Response"," Burned Area Emergency Response (BAER) teams have been established to...","ARIZONA","2019-09-04 18:32:50","33.443","-111.166","0 Acres","/incident/6405/","6405","0"
"2019 Umatilla NF Prescribed Fire","Prescribed Fire","The Umatilla National Forest prescribed fire page contains...","OREGON","2019-09-04 17:24:35","45.67","-118.87","0 Acres","/incident/5808/","5808","0"
"Left Hand Fire","Wildfire","The Left Hand Fire is a lightning caused wildfire discovered at...","WASHINGTON","2019-09-03 13:15:09","46.933","-120.993","3,406 Acres","/incident/6456/","6456","92"
"Triple Nickle","Wildfire"," Recent rains have created very favorable conditions, allowing Fire...","NEW MEXICO","2019-09-02 17:22:26","35.345","-107.527","8,063 Acres","/incident/6531/","6531","75"
"Little Bear","Wildfire","The lightning-caused Little Bear Fire was first discovered on July...","UTAH","2019-08-31 08:54:37","37.589","-112.319","2,450 Acres","/incident/6525/","6525","40"
"Beeskove Fire","Wildfire","The lightning-caused Beeskove Fire was detected on Tuesday morning,...","MONTANA","2019-08-30 13:48:02","46.962","-113.868","430 Acres","/incident/6458/","6458","71"
"Museum Fire","Wildfire","The museum fire is 100% contained and in &quot;Patrol Status&quot; with one...","ARIZONA","2019-08-29 14:23:49","35.263","-111.639","1,961 Acres","/incident/6450/","6450","100"
"Museum Fire BAER","Burned Area Emergency Response"," A Burned Area Emergency Response (BAER) team has been established to...","ARIZONA","2019-08-28 12:15:55","35.258","-111.643","1,961 Acres","/incident/6482/","6482","100"
"Newman Fire BAER Info","Burned Area Emergency Response"," A Burned Area Emergency Response (BAER) team has been established to...","ARIZONA","2019-08-07 18:32:11","35.023","-111.525","4,907 Acres","/incident/6483/","6483","0"
